序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
399,2025,電話及網路客服人員,K651000000,1457,50870,80.1
400,2025,統計調查訪談人員,K651000000,---,---,---
401,2025,醫院(診所)櫃台事務人員,K651000000,-,-,-
402,2025,會計助理、簿記、出納,K651000000,309,51973,84.1
403,2025,核保人員,K651000000,2819,54462,91.7
404,2025,統計、財務、證券及保險事務人員,K651000000,4346,51955,83
405,2025,存貨事務人員,K651000000,-,-,-
406,2025,人事事務人員,K651000000,347,51358,87.5
407,2025,郵件處理及投遞人員,K651000000,-,-,-
408,2025,其他事務支援人員,K651000000,-,-,-
409,2025,服務及銷售工作人員,K651000000,1328,65908,90.2
410,2025,廚師(含廚房領班),K651000000,---,---,---
411,2025,餐飲服務人員(含餐飲領班、餐食櫃台工作),K651000000,---,---,---
412,2025,按摩師,K651000000,52,28664,33
413,2025,商店銷售及展售人員(含門市店長),K651000000,-,-,-
414,2025,電話及網路行銷人員,K651000000,1244,67855,94.4
415,2025,建築物管理員、保全及警衛人員,K651000000,---,---,---
416,2025,技藝、機械設備操作及組裝人員,K651000000,52,54562,85.1
417,2025,電力、電子、資通訊設備裝修人員(含水電工),K651000000,---,---,---
418,2025,小客、貨車駕駛人員,K651000000,50,53673,82.9
419,2025,大客、貨車駕駛人員,K651000000,-,-,-
420,2025,基層技術工及勞力工,K651000000,-,-,-
421,2025,清潔及家事工作人員(含建築清潔工、房務人員),K651000000,-,-,-
422,2025,勞力工(含理貨員、行李搬運工),K651000000,-,-,-
423,2025,抄表員及自動販賣機收款員,K651000000,-,-,-
424,2025,主管及監督人員,K652000000,3001,85457,159
425,2025,高階主管(總經理及總執行長),K652000000,143,189297,424.1
426,2025,中階主管(經理),K652000000,657,112223,202.9
427,2025,監督人員(含現場及辦公室主任、科/股長),K652000000,2201,70720,129.2
428,2025,專業人員,K652000000,1295,59715,95.9
429,2025,精算師(取得正式資格者),K652000000,---,---,---
430,2025,統計及精算專業人員,K652000000,89,60826,87.9
431,2025,土木及水利工程師,K652000000,-,-,-
432,2025,護理人員,K652000000,---,---,---
433,2025,會(審)計師,K652000000,---,---,---
434,2025,風險控管人員,K652000000,50,58149,93.3
435,2025,財務及投資規劃分析人員,K652000000,63,61496,121.6
436,2025,專案管理師(含經營管理顧問),K652000000,---,---,---
437,2025,稽核人員,K652000000,83,63990,95.6
438,2025,人力資源管理師,K652000000,60,53440,90.2
439,2025,廣告及行銷專業人員(含企劃),K652000000,300,50670,81.7
440,2025,公關專業人員,K652000000,---,---,---
441,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),K652000000,602,60298,94
442,2025,律師,K652000000,---,---,---
443,2025,翻譯人員,K652000000,---,---,---
444,2025,其他專業人員,K652000000,-,-,-
445,2025,技術員及助理專業人員,K652000000,7929,49302,93.6
446,2025,勞安及衛生技術員,K652000000,---,---,---
447,2025,證券金融交易員及經紀人(含理財專員、承銷人員),K652000000,-,-,-
448,2025,會計人員,K652000000,119,56560,85.1
449,2025,統計及精算助理專業人員,K652000000,39,54459,85.1
450,2025,財物及損失鑑價人員,K652000000,1880,48304,78.9
451,2025,保險代理人 (含保險業務員),K652000000,5226,49224,100.8
452,2025,工商業銷售代表(含業務員),K652000000,332,47575,71.4
453,2025,採購員,K652000000,-,-,-
454,2025,會議及活動規劃人員,K652000000,---,---,---
455,2025,專業秘書,K652000000,---,---,---
456,2025,法務人員,K652000000,139,49542,78
457,2025,資訊管理及維護技術員,K652000000,148,54757,82.7
458,2025,其他技術員及助理專業人員,K652000000,-,-,-
459,2025,事務支援人員,K652000000,5918,43806,68.7
460,2025,總務,K652000000,66,46369,71.9
461,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K652000000,1246,39030,64.1
462,2025,銀行、郵局櫃台事務人員,K652000000,-,-,-
463,2025,收帳、收費人員(含帳款催收),K652000000,52,51704,75.9
464,2025,接待員及服務台事務人員(含總機),K652000000,84,37506,57
465,2025,電話及網路客服人員,K652000000,298,41365,62.3
466,2025,統計調查訪談人員,K652000000,-,-,-
467,2025,醫院(診所)櫃台事務人員,K652000000,-,-,-
468,2025,會計助理、簿記、出納,K652000000,137,44652,69.4
469,2025,核保人員,K652000000,2326,46989,74.7
470,2025,統計、財務、證券及保險事務人員,K652000000,1662,43202,64.3
471,2025,存貨事務人員,K652000000,-,-,-
472,2025,人事事務人員,K652000000,47,46166,71.1
